repository,stars,age_years,ai_score,ai_validation_reason,pre_commits,pre_issues,pre_avg_resolution_hours,pre_issue_rate_per_month,pre_fix_percent,pre_revert_percent,pre_avg_lines_changed,pre_avg_mi,pre_median_mi,pre_std_mi,pre_avg_cc,pre_median_cc,pre_std_cc,pos_commits,pos_issues,pos_avg_resolution_hours,pos_issue_rate_per_month,pos_fix_percent,pos_revert_percent,pos_avg_lines_changed,pos_avg_mi,pos_median_mi,pos_std_mi,pos_avg_cc,pos_median_cc,pos_std_cc,comparison_mi_change_percent,comparison_cc_change_percent
openatx/uiautomator2,8059,8.7,1,1 commits with LLM co-authorship in last 2500 commits,1,222,34020.15180555556,37.0,0.0,0.0,12.0,64.12286594932522,64.12907739407264,26.070277195585742,2.199127906976744,1.5,1.7709376526818545,1,19,540.3209722222223,3.1666666666666665,100.0,0.0,111.0,63.54978669763894,62.08413676640578,25.937433968816997,2.188202247191011,1.0,1.7581195660518303,-0.8937205834486008,-0.4968178408846207
microsoft/presidio,8097,8.0,29,29 commits with LLM co-authorship in last 2500 commits,29,36,1142.2024999999999,6.0,31.03448275862069,0.0,2.0,74.82973033096623,69.73392206958052,22.923923798903846,3.0236336779911372,2.0,2.518945015256386,29,53,414.7583333333333,8.833333333333334,65.51724137931035,24.137931034482758,58.0,74.94948006827603,71.31392542791153,22.47765478790293,3.4367219917012446,3.0,2.7857707578410875,0.16002962563162942,13.661982822752453
lanpa/tensorboardX,7988,8.9,1,1 commits with LLM co-authorship in last 2500 commits,1,23,146.73916666666668,3.8333333333333335,100.0,0.0,49.0,75.25838314973592,82.69044196857239,22.63700988293413,2.1732673267326734,1.0,1.8891766287134222,1,5,10140.048333333334,0.8333333333333334,100.0,100.0,49.0,76.14564027702558,82.69044196857239,23.038745747384365,2.23728813559322,1.0,1.997221089619196,1.1789478994311497,2.9458322072506693
PyMySQL/PyMySQL,7837,14.8,2,2 commits with LLM co-authorship in last 2500 commits,2,566,22.122222222222224,94.33333333333333,0.0,0.0,14.0,71.08301718922942,69.06971064879885,31.315445981461977,2.9026548672566372,2.0,4.638172896619582,2,8,6300.350833333333,1.3333333333333333,50.0,0.0,84.5,70.79693974692331,69.06971064879885,31.414922134448926,2.9035087719298245,2.0,4.694097260605954,-0.40245540161097093,0.029418057338462998
openedx/openedx-platform,8101,13.0,2,2 commits with LLM co-authorship in last 2500 commits,2,0,0.0,0.0,50.0,0.0,216.5,75.79789178167837,75.94072912677161,24.05442795479039,2.8555133079847907,2.0,2.993701188009283,2,279,1310.8425,46.5,100.0,0.0,103.5,75.96456694006746,76.30594862314568,23.92772782855599,2.9024975673045734,2.0,3.04666329601586,0.2198941876499144,1.6453875101335342
AdnanHodzic/auto-cpufreq,7537,6.4,3,3 commits with LLM co-authorship in last 2500 commits,3,99,1668.4091666666666,16.5,100.0,0.0,7.0,56.704696612960866,61.8682622334221,22.982811060323677,3.6804123711340204,2.0,5.719466473121995,3,29,124.915,4.833333333333333,100.0,0.0,81.0,55.34104588682996,59.369337759910735,27.987235506864394,3.7958333333333334,2.0,5.73403429581264,-2.4048285372877203,3.1360877684407167
liangliangyy/DjangoBlog,7375,9.5,2,2 commits with LLM co-authorship in last 2500 commits,2,45,130.3202777777778,7.5,0.0,0.0,219.0,74.85033776855508,73.05465208784291,26.37137649836471,2.402892561983471,1.5,3.1813103329820036,2,2,270.56,0.3333333333333333,0.0,0.0,4.0,76.30376153179472,74.26066293020227,24.314951353298834,2.1712654614652713,1.0,2.7601852240238087,1.9417731523587463,-9.639511319931952
pyca/cryptography,7597,12.8,1,1 commits with LLM co-authorship in last 2500 commits,1,214,49.37638888888889,35.666666666666664,0.0,0.0,6.0,79.2061787919414,100.0,27.28986835915153,1.9130769230769231,1.0,1.915358510789056,1,125,164.5611111111111,20.833333333333332,0.0,0.0,112.0,81.81113650423826,100.0,26.331454154737802,1.9679937548790007,1.0,2.0347657022076504,3.2888314422282163,2.8706023861158387
mwouts/jupytext,7174,7.9,7,7 commits with LLM co-authorship in last 2500 commits,7,104,6053.506805555556,17.333333333333332,14.285714285714285,0.0,21.0,55.337186073926766,50.685237895816805,30.975925621811218,6.948553054662379,4.0,8.706573790349413,7,29,599.8919444444444,4.833333333333333,85.71428571428571,0.0,26.0,56.49468458020132,58.79439742246562,29.671998352915683,6.756446991404012,4.0,8.705019135519972,2.091719128486614,-2.76469160913245
ranaroussi/quantstats,7125,7.0,3,3 commits with LLM co-authorship in last 2500 commits,3,71,17744.208333333332,11.833333333333334,100.0,0.0,526.0,57.172155418593604,68.27749444725657,43.78815611383263,5.753521126760563,2.0,10.338759712383236,3,23,1098.8058333333333,3.8333333333333335,0.0,0.0,2.0,53.38127677470893,65.06730977047569,37.885728759685406,5.61139896373057,3.0,10.204097247359712,-6.630637967257397,-2.470177129774659
hacs/integration,7363,7.2,1,1 commits with LLM co-authorship in last 2500 commits,1,1408,3.085972222222222,234.66666666666666,0.0,0.0,2.0,67.86741167338815,62.91769223838481,25.258577017691366,3.656019656019656,2.0,4.172521186430417,1,219,0.522361111111111,36.5,0.0,0.0,528.0,67.97544410709109,63.11944662434972,25.296547541344335,3.6943765281173593,2.0,4.220915747294317,0.15918160283296381,1.0491429397691674
feast-dev/feast,7039,7.4,38,38 commits with LLM co-authorship in last 2500 commits,38,218,3048.3465277777777,36.333333333333336,71.05263157894737,2.631578947368421,234.0,62.16911376911602,58.91117929904862,25.317707861869966,2.6105919003115265,2.0,3.02564825412823,38,245,691.4094444444445,40.833333333333336,78.94736842105263,10.526315789473683,240.0,65.62783537883686,62.63522395501839,27.212386107905193,3.2207762026493145,2.0,4.4677235487947655,5.563408258586193,23.373408239908105
inventree/InvenTree,6973,9.2,35,35 commits with LLM co-authorship in last 2500 commits,35,402,556.2055555555555,67.0,45.714285714285715,5.714285714285714,46.0,69.74047872103088,68.23934678714744,27.266231047863325,2.5616589455106995,2.0,2.774407015451769,35,295,102.34180555555557,49.166666666666664,57.14285714285714,11.428571428571429,107.0,67.94846332991105,66.16724746538137,27.1552342261331,2.728048549212972,2.0,3.122871636130809,-2.5695484516073934,6.495384719104377
mitre/caldera,6966,8.5,3,3 commits with LLM co-authorship in last 2500 commits,3,94,497.06555555555553,15.666666666666666,0.0,0.0,40.0,68.25214572553665,62.685443135972776,30.002370303006895,2.3533778767631772,2.0,2.005521726309609,3,79,11362.875555555556,13.166666666666666,100.0,33.33333333333333,14.0,67.50464223626234,62.39549362222999,29.80271959327227,2.4147230320699706,2.0,2.0931344447395723,-1.0952087752380049,2.606685305938509
PyCQA/isort,6946,12.7,1,1 commits with LLM co-authorship in last 2500 commits,1,107,203.52875,17.833333333333332,100.0,0.0,39.0,69.0987111077717,77.99778146662221,33.34823966165884,6.487719298245614,3.0,16.682926140907085,1,99,22790.581388888888,16.5,0.0,0.0,406.0,71.21726644847264,85.29061624289466,33.064155553823184,6.645161290322581,2.0,16.83707197573025,3.065983875439693,2.426769483068443
hhyo/Archery,6890,7.6,2,2 commits with LLM co-authorship in last 2500 commits,2,231,1748.7744444444445,38.5,0.0,0.0,351.0,60.82417210942891,57.319860725043306,26.44168802126885,2.726309921962096,1.0,3.7120895451687086,2,49,106.27791666666667,8.166666666666666,50.0,0.0,357.5,59.0199051871291,56.386406143915536,27.716380810676146,2.7625,1.0,4.0239193683936225,-2.9663649495364264,1.3274381517072158
Ultimaker/Cura,6962,11.9,14,14 commits with LLM co-authorship in last 2500 commits,14,1967,4344.150416666667,327.8333333333333,7.142857142857142,0.0,55.0,71.40119619907911,70.25497676666491,24.56277074632747,3.3379310344827586,2.0,5.245660683341637,14,414,28.72833333333333,69.0,0.0,0.0,2.0,70.94654386236328,69.9737926795067,25.014586781313156,3.422732491389208,2.0,5.546851890707042,-0.6367573106873079,2.5405395147593266
flwrlabs/flower,6903,6.2,78,78 commits with LLM co-authorship in last 2500 commits,78,130,24585.714444444442,21.666666666666668,10.256410256410255,0.0,88.0,75.54014660873192,74.03933453534945,20.252091322799306,2.710976837865055,2.0,2.8146949937465737,78,82,1100.3222222222223,13.666666666666666,16.666666666666664,0.0,214.0,75.24580786359913,74.1008827745871,20.490364204125196,2.638682745825603,2.0,2.6545197677607635,-0.38964545125567346,-2.666717436670736
