repository,stars,age_years,primary_language,llm_coauthor_commits,commits_scanned,python_file_count,total_sloc,eligible,rejection_reason,star_bucket,scanned_at,has_ai_config
fendouai/PyTorchDocs,2909,7.1,Python,0,79,0,0,False,sem co-autoria LLM e sem arquivos de config nos últimos 79 commits,1000-2999,2026-05-24T11:24:16Z,False
kayak/pypika,2909,9.9,Python,0,1064,17,4834,False,sem co-autoria LLM e sem arquivos de config nos últimos 1064 commits,1000-2999,2026-05-24T11:24:17Z,False
ciur/papermerge,2911,6.4,Python,0,2215,20,774,False,sem co-autoria LLM e sem arquivos de config nos últimos 2215 commits,1000-2999,2026-05-24T11:23:58Z,False
tiangolo/uvicorn-gunicorn-fastapi-docker,2908,7.4,Python,0,242,1,8,False,sem co-autoria LLM e sem arquivos de config nos últimos 242 commits,1000-2999,2026-05-24T11:24:41Z,False
zhaipro/easy12306,2907,11.2,Python,0,56,7,460,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:24:46Z,True
Luolc/AdaBound,2905,7.3,Python,0,27,7,575,False,sem co-autoria LLM e sem arquivos de config nos últimos 27 commits,1000-2999,2026-05-24T11:24:46Z,False
xflux-gui/fluxgui,2895,10.1,Python,0,358,15,870,False,sem co-autoria LLM e sem arquivos de config nos últimos 358 commits,1000-2999,2026-05-24T11:24:49Z,False
korcankaraokcu/PINCE,2908,10.3,Python,0,1699,78,15537,False,sem co-autoria LLM e sem arquivos de config nos últimos 1699 commits,1000-2999,2026-05-24T11:24:20Z,False
Ekultek/WhatWaf,2895,8.4,Python,0,398,138,4538,False,sem co-autoria LLM e sem arquivos de config nos últimos 398 commits,1000-2999,2026-05-24T11:24:57Z,False
calebstewart/pwncat,2892,6.0,Python,0,747,139,15003,False,sem co-autoria LLM e sem arquivos de config nos últimos 747 commits,1000-2999,2026-05-24T11:25:09Z,False
YunoHost/yunohost,2903,12.0,Python,0,2500,61,23760,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:24:48Z,False
yaml/pyyaml,2891,14.6,Python,0,326,20,4792,False,sem co-autoria LLM e sem arquivos de config nos últimos 326 commits,1000-2999,2026-05-24T11:25:44Z,False
holoviz/holoviews,2894,12.1,Python,0,2500,142,67539,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:24:58Z,False
jisungk/deepjazz,2890,10.1,Python,0,25,5,543,False,sem co-autoria LLM e sem arquivos de config nos últimos 25 commits,1000-2999,2026-05-24T11:26:01Z,False
nicotine-plus/nicotine-plus,2891,12.8,Python,1,1292,131,39355,True,,1000-2999,2026-05-24T11:25:27Z,False
nickliqian/cnn_captcha,2882,7.5,Python,0,62,14,921,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:26:38Z,True
airbnb/streamalert,2887,9.3,Python,0,1904,257,23844,False,sem co-autoria LLM e sem arquivos de config nos últimos 1904 commits,1000-2999,2026-05-24T11:26:03Z,False
explosion/thinc,2890,11.6,Python,0,2500,97,11454,False,sem co-autoria LLM e sem arquivos de config nos últimos 2500 commits,1000-2999,2026-05-24T11:25:54Z,False
learnables/learn2learn,2882,6.8,Python,0,357,82,8780,False,sem co-autoria LLM e sem arquivos de config nos últimos 357 commits,1000-2999,2026-05-24T11:26:41Z,False
anyoptimization/pymoo,2879,8.7,Python,0,1073,320,21553,False,sem co-autoria LLM e sem arquivos de config nos últimos 1073 commits,1000-2999,2026-05-24T11:26:52Z,False
grantjenks/python-diskcache,2878,10.3,Python,0,736,8,4199,False,sem co-autoria LLM e sem arquivos de config nos últimos 736 commits,1000-2999,2026-05-24T11:27:26Z,False
onelivesleft/PrettyErrors,2877,7.5,Python,0,130,5,1158,False,sem co-autoria LLM e sem arquivos de config nos últimos 130 commits,1000-2999,2026-05-24T11:27:42Z,False
pytorch/audio,2880,9.1,Python,0,2482,86,22811,True,elegível via arquivo de configuração de IA (.cursor/.aider),1000-2999,2026-05-24T11:26:48Z,True
