Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
winterbe/java8-tutorial,16766,12.04,0,2081,335,1.03,1.0,3.91
shuzheng/zheng,16698,9.49,0,41742,3447,4.53,1.41,340.86
prestodb/presto,16673,13.64,14,804595,0,8.8,1.39,84.94
JeffLi1993/springboot-learning-example,16591,9.14,0,1641,1436,4.61,1.04,2.85
ashishps1/awesome-leetcode-resources,16116,2.43,0,360,69,1.18,1.0,4.73
android-hacker/VirtualXposed,15986,8.33,50,47736,5156,3.95,2.79,14.7
dyc87112/SpringBoot-Learning,15789,9.61,0,2790,893,4.45,1.03,1.45
quarkusio/quarkus,15570,7.73,465,950807,0,5.18,1.23,53.25
android10/Android-CleanArchitecture,15556,11.61,0,2260,1714,5.14,1.43,6.72
apache/hadoop,15512,11.59,0,1672354,0,7.47,1.61,70.33
Konloch/bytecode-viewer,15460,11.46,62,21768,9086,4.74,2.05,13.69
mockito/mockito,15430,13.46,226,53190,21440,3.46,1.4,19.06
apache/pulsar,15183,9.75,123,510936,0,6.87,1.68,89.74
apache/doris,15165,8.64,84,687672,0,8.54,1.7,126.81
java-decompiler/jd-gui,15063,11.02,18,19309,2634,4.54,2.42,11.12
zhisheng17/flink-learning,15055,7.24,0,15829,0,4.38,1.14,3.02
supertokens/supertokens-core,14991,6.23,116,112693,16204,11.23,1.33,72.98
zaproxy/zaproxy,14937,10.83,25,171397,76517,4.75,1.91,70.92
cryptomator/cryptomator,14852,12.16,205,19116,1573,8.41,1.42,19.62
theonedev/onedev,14824,7.4,469,339086,14350,5.85,1.4,26.85
elastic/logstash,14814,15.36,238,43734,16069,5.41,1.62,21.19
eclipse-vertx/vert.x,14659,14.79,0,168106,43406,6.68,1.64,157.2
arduino/Arduino,14557,15.53,37,25793,10417,4.13,1.77,32.72
hdodenhof/CircleImageView,14538,12.2,0,360,22,11.0,2.33,178.67
Tencent/QMUI_Android,14513,8.94,35,58309,10302,5.47,1.63,35.34
alibaba/ARouter,14497,9.29,16,3165,1468,3.69,1.41,17.45
GoogleContainerTools/jib,14361,8.19,176,35416,0,7.06,1.22,17.12
languagetool-org/languagetool,14241,12.64,0,214699,0,5.39,1.59,55.57
deeplearning4j/deeplearning4j,14214,12.34,0,571489,0,8.4,2.19,54025.11
DuGuQiuBai/Java,14208,10.35,0,10840,4879,0.77,1.18,1.08
apache/dolphinscheduler,14202,7.08,56,99802,0,6.56,1.38,11.73
kekingcn/kkFileView,14029,8.3,16,9777,0,7.21,1.05,163.94
Netflix/zuul,14003,13.05,65,22405,9444,6.56,1.61,25.0
janishar/mit-deep-learning-book-pdf,13975,8.98,3,2,0,0.0,1.0,0.0
apache/druid,13968,13.43,71,782875,0,7.89,1.37,62.52
xpipe-io/xpipe,13949,3.17,149,72786,1490,7.24,1.63,19.92
sqshq/piggymetrics,13885,11.01,2,1881,178,6.04,1.06,3.83
orhanobut/logger,13876,11.03,16,827,271,5.83,1.17,14.94
pinpoint-apm/pinpoint,13819,11.44,62,292230,0,5.26,1.14,11.69
lgvalle/Material-Animations,13769,11.06,0,1010,54,4.4,1.47,4.76
seaswalker/spring-analysis,13761,9.56,0,378,130,2.42,1.24,1.79
JessYanCoding/AndroidAutoSize,13746,7.62,14,1720,2036,5.41,1.41,31.29
LuckSiege/PictureSelector,13596,9.23,116,39103,10930,5.16,1.24,49.45
tink-crypto/tink,13555,11.82,21,82161,31353,7.67,1.29,30.08
Bigkoo/Android-PickerView,13469,11.26,0,4421,978,3.73,1.15,15.49
macrozheng/mall-learning,13367,6.97,0,14384,2192,4.97,1.1,229.51
pxb1988/dex2jar,13103,11.04,8,41715,6301,5.43,1.57,21.13
metersphere/metersphere,13054,6.15,184,321954,26877,6.68,1.3,446.24
youth5201314/banner,13042,9.94,0,2724,564,6.08,1.84,47.68
alibaba/COLA,12921,8.15,11,9619,0,4.33,1.33,4.97
macrozheng/mall-swarm,12893,6.35,3,101603,4352,3.79,1.23,1106.23
plantuml/plantuml,12858,15.4,67,199762,166217,7.16,1.52,36.37
codecentric/spring-boot-admin,12827,11.68,147,13881,7050,7.75,1.29,7.26
Netflix/conductor,12788,9.31,319,47052,13547,7.5,1.25,78.67
microg/GmsCore,12756,11.94,45,58046,0,6.0,1.72,14.03
apache/zookeeper,12744,17.01,0,124155,42817,5.69,1.99,37.12
google/guice,12732,11.84,19,84793,21479,3.8,1.3,8.46
Netflix/eureka,12701,13.68,152,33579,10678,5.86,1.27,18.61
facebook/stetho,12700,11.19,13,19241,3889,4.38,1.42,7.5
opensearch-project/OpenSearch,12673,5.17,65,1331232,0,7.44,1.72,39.52
greenrobot/greenDAO,12617,14.44,8,18545,4931,5.02,2.1,47.45
debezium/debezium,12565,10.19,0,216862,64880,6.84,1.6,61.1
zhihu/Matisse,12561,8.96,15,3418,1130,6.66,1.39,8.08
LawnchairLauncher/lawnchair,12490,9.08,32,283473,0,10.78,1.55,193.24
daimajia/AndroidViewAnimations,12471,11.77,9,965,1464,3.38,1.8,2.29
daimajia/AndroidSwipeLayout,12384,11.6,18,2770,209,3.72,1.32,58.91
pagehelper-org/Mybatis-PageHelper,12380,11.81,15,7474,6001,5.82,1.46,29.39
amitshekhariitbhu/android-interview-questions,12301,8.73,0,5,0,0.0,1.0,0.0
redis/jedis,12298,15.8,120,126429,28543,5.71,1.42,460.72
beemdevelopment/Aegis,12202,9.62,73,24210,859,7.43,1.71,22.87
Team-xManager/xManager,12190,5.14,51,21822,1,2.02,1.02,4.73
Yalantis/uCrop,12112,10.23,20,4707,992,6.34,1.36,28.91
PaperMC/Paper,12088,10.19,0,162674,118877,6.96,1.68,102.1
Tencent/matrix,11999,7.3,16,79032,0,5.68,1.34,12.89
grpc/grpc-java,11997,11.31,189,262829,64691,5.66,1.42,14.14
provectus/kafka-ui,11988,6.34,25,18139,689,7.24,1.51,17.13
Tencent/VasSonic,11876,8.66,10,7421,3078,4.2,1.28,21.61
OpenRefine/OpenRefine,11791,13.46,76,73864,32341,6.7,1.69,13.14
datahub-project/datahub,11739,10.37,135,268607,0,11.28,1.21,21.73
code4craft/webmagic,11698,12.94,33,8794,2593,4.53,1.18,11.47
jd-opensource/joyagent-jdgenie,11611,0.71,1,9182,1065,4.98,1.12,4.73
newbee-ltd/newbee-mall,11543,6.52,0,3935,1457,5.03,1.07,34.91
StarRocks/starrocks,11525,4.57,180,868166,0,7.23,1.47,134.95
realm/realm-java,11486,13.94,0,110167,31691,4.29,1.21,51.75
careercup/CtCI-6th-Edition,11471,10.75,0,21093,1277,2.13,1.07,4.48
gyf-dev/ImmersionBar,11468,8.95,0,7237,2802,6.35,2.11,159.25
langchain4j/langchain4j,11400,2.78,61,181740,0,6.22,1.21,20.29
jhy/jsoup,11361,16.28,21,39504,8072,6.12,1.77,228.87
apereo/cas,11320,14.56,315,232911,0,10.23,1.49,7.8
ssssssss-team/spider-flow,11318,6.01,2,8748,942,5.39,1.73,20.33
mission-peace/interview,11308,11.7,0,27259,5478,2.01,1.04,3.41
permissions-dispatcher/PermissionsDispatcher,11198,10.63,40,3184,132,1.62,1.23,34.38
daniulive/SmarterStreaming,11164,10.01,0,10750,2740,3.85,1.05,71.55
lingochamp/FileDownloader,11124,10.27,65,14387,5340,4.53,1.69,42.01
H07000223/FlycoTabLayout,11111,10.39,4,2730,207,6.45,1.55,223.09
apple/pkl,11103,2.2,21,68277,17204,6.39,4.32,29.91
jwtk/jjwt,11053,11.55,9,16052,20485,5.62,1.99,25.83
jfeinstein10/SlidingMenu,11024,13.75,0,3085,1026,5.12,1.96,47.45
androidannotations/androidannotations,11004,14.23,0,28800,0,5.96,1.68,26.1
asLody/VirtualApp,10948,9.73,0,46624,4773,3.94,2.59,15.61
opendataloader-project/opendataloader-pdf,10896,0.88,53,15527,5553,7.47,1.19,51.12
square/javapoet,10859,13.16,0,7543,1206,4.52,1.15,129.29
clojure/clojure,10835,15.75,0,46848,12245,3.6,1.5,130.21
TooTallNate/Java-WebSocket,10797,16.19,19,13166,7399,3.59,1.82,37.06
alibaba/vlayout,10761,9.09,34,14042,3735,5.31,1.86,72.54
zfile-dev/zfile,10719,6.61,67,13242,6613,7.09,1.48,9.8
iflytek/astron-agent,10686,0.53,12,73357,24900,6.2,1.06,24.56
